code,descr,lang_code,is_active,cr_by,cr_dtimes
RPR_RPV_SUC_EMAIL_SUB,Registration Packet Validation Success Email Sub,fra,TRUE,admin,now()
RPR_UPV_SUC_EMAIL_SUB,Update Packet Validation Success Email Sub,fra,TRUE,admin,now()
RPR_LPV_SUC_EMAIL_SUB,Lost Packet Validation Success Email Sub,fra,TRUE,admin,now()
RPR_PPV_SUC_EMAIL_SUB,Re-print Packet Validation Success Email Sub,fra,TRUE,admin,now()
RPR_RUPV_SUC_EMAIL_SUB,Resident Update Packet Validation Success Email Sub,fra,TRUE,admin,now()
RPR_APV_SUC_EMAIL_SUB,Activate Packet Validation Success Email Sub,fra,TRUE,admin,now()
RPR_DPV_SUC_EMAIL_SUB,De-activate Packet Validation Success Email Sub,fra,TRUE,admin,now()
RS_CRE_REQ_SUCCESS_SMS,Credential Issuance Success SMS,fra,TRUE,admin,now()
RS_CRE_REQ_SUCCESS_EMAIL,Credential Issuance Success EMAIL,fra,TRUE,admin,now()
RS_CRE_REQ_SUCCESS_EMAIL_SUB,Credential Issuance Success EMAIL Subject,fra,TRUE,admin,now()
RS_CRE_STATUS_SMS,Credential Issuance Status Check SMS,fra,TRUE,admin,now()
RS_CRE_STATUS_EMAIL,Credential Issuance Status Check EMAIL,fra,TRUE,admin,now()
RS_CRE_STATUS_EMAIL_SUB,Credential Issuance Status Check EMAIL Subject,fra,TRUE,admin,now()
RS_CRE_CANCEL_SUCCESS_SMS,Credential Request Cancel Success SMS,fra,TRUE,admin,now()
RS_CRE_CANCEL_SUCCESS_EMAIL,Credential Request Cancel Success EMAIL,fra,TRUE,admin,now()
RS_CRE_CANCEL_SUCCESS_EMAIL_SUB,Credential Request Cancel Success EMAIL Subject,fra,TRUE,admin,now()
RS_CRE_REQ_FAILURE_SMS,Credential Issuance Failure SMS,fra,TRUE,admin,now()
RS_CRE_REQ_FAILURE_EMAIL,Credential Issuance Failure EMAIL,fra,TRUE,admin,now()
RS_CRE_REQ_FAILURE_EMAIL_SUB,Credential Issuance Failure EMAIL Subject,fra,TRUE,admin,now()
reg-ack-template-part,Acknowledgement generated after registration,fra,TRUE,admin,now()
reg-preview-template-part,Preview generated after registration,fra,TRUE,admin,now()
reg-dashboard-template,Dashboard of Registration Client,fra,TRUE,admin,now()
partner-reg-sub-template,partner registration notify subject template,fra,TRUE,admin,now()
partner-status-sub-template,partner status notify subject template,fra,TRUE,admin,now()
partner-apikey-status-sub-template,partner apikey status notify subject template,fra,TRUE,admin,now()
partner-reg-content-template,partner registration notify content template,fra,TRUE,admin,now()
partner-status-content-template,partner status notify content template,fra,TRUE,admin,now()
apikey-status-content-template,partner apikey status notify content template,fra,TRUE,admin,now()
Registration Consent,Consent in Registration Client,fra,TRUE,admin,now()
RPR_PAUSED_FOR_ADD_INFO_EMAIL,Email template requesting for additional info,fra,TRUE,admin,now()
RPR_PAUSED_FOR_ADD_INFO_SMS,Email template requesting for additional info,fra,TRUE,admin,now()
RPR_DUP_UIN_EMAIL_SUB,Registration Failed because you have already Registered,fra,TRUE,admin,now()
RPR_TEC_ISSUE_EMAIL_SUB,Re-Register because there was a Technical Issue,fra,TRUE,admin,now()
RPR_UIN_REAC_EMAIL_SUB,Uin is activated successfully,fra,TRUE,admin,now()
RPR_UIN_DEAC_EMAIL_SUB,Uin is deactivated,fra,TRUE,admin,now()
RPR_UIN_GEN_EMAIL_SUB,UIN Generated,fra,TRUE,admin,now()
RPR_UIN_UPD_EMAIL_SUB,UIN Details Updated,fra,TRUE,admin,now()
RPR_PAUSED_FOR_ADD_INFO_EMAIL_SUB,Requesting the additional details for progressing on the application of UIN,fra,TRUE,admin,now()
otp-sms-template,OTP Send Service,fra,TRUE,admin,now()
auth-email-content,Template for authorization content,ara,TRUE,admin,now()
auth-email-subject,Template for authorization subject,ara,TRUE,admin,now()
